"station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
142,"8",24,"Tuesday",1,0,387.066666666667,14.3358024691358,NA,9,10,27,27.2,0
142,"10",12,"Tuesday",0,0,83.7,27.9,16.305,0,2,3,18.5,0
142,"11",3,"Wednesday",1,0,227.283333333333,12.6268518518519,NA,9,7,18,2.2,0
142,"11",10,"Wednesday",1,0,240.816666666667,16.0544444444444,NA,7,7,15,6,0
142,"11",12,"Friday",1,0,57.45,11.49,NA,2,3,5,7.7,20.4
143,"4",19,"Monday",1,0,213.533333333333,15.252380952381,NA,3,10,14,12.3,0
143,"4",23,"Friday",0,0,11.0333333333333,11.0333333333333,2.905,0,1,1,8.3,0
143,"4",27,"Tuesday",0,0,9,9,2.6,0,1,1,8,0
143,"5",16,"Sunday",1,0,323.666666666667,15.4126984126984,NA,3,14,21,15.8,0.3
143,"5",28,"Friday",1,0,304.916666666667,14.5198412698413,NA,6,13,21,7.8,0
143,"6",27,"Sunday",1,0,412.183333333333,16.4873333333333,NA,4,19,25,26.9,0
143,"7",18,"Sunday",0,0,101.466666666667,25.3666666666667,20.22,1,3,4,21.8,0
143,"7",28,"Wednesday",0,0,112.5,28.125,21.875,1,2,4,19.2,0
143,"8",5,"Thursday",0,0,87.3,10.9125,23.095,1,5,8,22.1,0
143,"8",20,"Friday",1,0,253.183333333333,12.6591666666667,NA,9,9,20,25.9,0
143,"8",27,"Friday",1,0,320.9,12.836,NA,10,13,25,21.2,0
143,"8",28,"Saturday",1,0,274.85,15.2694444444444,NA,6,12,18,18.9,0
143,"8",30,"Monday",1,0,376.116666666667,13.9302469135802,NA,5,21,27,24.8,5.3
143,"10",1,"Friday",1,0,439.4,16.9,NA,8,11,26,12.5,0
143,"10",12,"Tuesday",1,0,181.716666666667,11.3572916666667,NA,6,8,16,18.5,0
143,"10",30,"Saturday",1,0,146.7,14.67,NA,0,8,10,8.2,11.6
144,"4",23,"Friday",0,0,20.3,20.3,4.295,0,1,1,8.3,0
144,"4",23,"Friday",1,0,309.466666666667,17.1925925925926,NA,5,11,18,8.3,0
144,"5",4,"Tuesday",1,0,278.566666666667,16.3862745098039,NA,9,6,17,11.7,0
144,"5",25,"Tuesday",1,0,502.05,15.2136363636364,NA,11,18,33,19.7,0.5
144,"6",20,"Sunday",1,0,335.133333333333,13.9638888888889,NA,5,14,24,21.8,0
144,"7",25,"Sunday",1,0,178.2,16.2,NA,2,4,11,22.8,13.9
144,"9",6,"Monday",1,1,345.35,16.4452380952381,NA,8,10,21,17.4,6.3
144,"9",12,"Sunday",1,0,370.833333333333,14.2628205128205,NA,3,19,26,19.1,0
144,"9",21,"Tuesday",1,0,421.533333333333,13.5978494623656,NA,12,17,31,20.2,0
144,"10",1,"Friday",0,0,104.5,14.9285714285714,24.425,2,5,7,12.5,0
144,"10",11,"Monday",1,1,350.166666666667,14.0066666666667,NA,7,14,25,18.4,0
144,"10",13,"Wednesday",1,0,365.366666666667,12.5988505747126,NA,16,11,29,16.7,0
144,"10",14,"Thursday",1,0,413.6,11.8171428571429,NA,14,17,35,18.3,0
144,"10",27,"Wednesday",1,0,233.716666666667,12.9842592592593,NA,9,9,18,9.6,0
144,"11",3,"Wednesday",0,0,8.98333333333333,4.49166666666667,3.8475,0,2,2,2.2,0
144,"11",4,"Thursday",1,0,188.816666666667,10.4898148148148,NA,6,10,18,1.3,0.2
144,"11",5,"Friday",0,0,34.3166666666667,17.1583333333333,7.6475,0,0,2,3.5,0
144,"11",10,"Wednesday",1,0,263.933333333333,15.5254901960784,NA,7,9,17,6,0
144,"11",13,"Saturday",0,0,45.9833333333333,15.3277777777778,10.6475,2,1,3,5.3,2.5
145,"4",28,"Wednesday",0,0,68.9833333333333,17.2458333333333,15.3475,3,1,4,12.8,4.3
145,"5",8,"Saturday",1,0,760.183333333333,11.8778645833333,NA,11,41,64,11.7,0
145,"5",30,"Sunday",1,0,650.466666666667,11.4116959064327,NA,10,33,57,13.6,0.9
145,"6",4,"Friday",1,0,1163.28333333333,13.6856862745098,NA,25,38,85,22,0
145,"6",17,"Thursday",1,0,1313.26666666667,13.5388316151203,NA,31,42,97,18.2,0
145,"6",24,"Thursday",0,1,297.016666666667,14.8508333333333,69.5525,1,10,20,20.4,0
145,"6",29,"Tuesday",0,0,146.933333333333,20.9904761904762,30.79,2,3,7,25.6,0
145,"7",3,"Saturday",1,0,996.2,15.8126984126984,NA,15,38,63,16.5,0
145,"7",8,"Thursday",1,0,467.65,8.82358490566038,NA,16,33,53,17.2,16.1
145,"7",12,"Monday",0,0,120.266666666667,10.0222222222222,33.04,5,4,12,23.1,0
145,"7",23,"Friday",1,0,995.133333333333,10.1544217687075,NA,19,66,98,21,0
145,"7",30,"Friday",1,0,915.766666666667,12.5447488584475,NA,11,44,73,16.5,0
145,"8",21,"Saturday",0,0,294.466666666667,16.3592592592593,66.67,1,8,18,27.5,0
145,"9",12,"Sunday",1,0,578.3,10.1456140350877,NA,11,38,57,19.1,0
145,"9",17,"Friday",1,0,865.466666666667,11.5395555555556,NA,20,41,75,19.8,0
145,"9",22,"Wednesday",1,0,731.116666666667,10.4445238095238,NA,18,43,70,20.8,0.2
145,"9",23,"Thursday",1,0,873.133333333333,11.6417777777778,NA,17,40,75,24.7,6.3
145,"10",17,"Sunday",1,0,594.433333333333,11.6555555555556,NA,19,23,51,11.1,0.2
145,"10",25,"Monday",0,0,127.35,15.91875,29.1025,3,0,8,6.5,0.5
145,"11",2,"Tuesday",0,0,36.2166666666667,9.05416666666667,10.4325,0,4,4,5.4,4
145,"11",14,"Sunday",1,0,532.116666666667,12.9784552845528,NA,16,21,41,4.1,3
146,"5",3,"Monday",0,0,66.8166666666667,33.4083333333333,12.5225,2,0,2,7.6,0
146,"5",8,"Saturday",1,0,419.883333333333,11.3481981981982,NA,5,28,37,11.7,0
146,"5",19,"Wednesday",0,0,9.43333333333333,9.43333333333333,2.665,0,1,1,19.2,0
146,"6",19,"Saturday",0,0,129.733333333333,12.9733333333333,31.96,2,3,10,20.7,1.9
147,"5",6,"Thursday",1,0,337.683333333333,12.9878205128205,NA,9,13,26,10.2,0
147,"5",24,"Monday",0,1,119.2,23.84,24.13,3,2,5,14.4,0
147,"6",5,"Saturday",0,0,47.6666666666667,15.8888888888889,10.9,0,1,3,22.4,14.2
147,"6",21,"Monday",0,0,8.3,8.3,2.495,1,0,1,24.1,2.9
147,"7",7,"Wednesday",1,0,347.166666666667,12.3988095238095,NA,9,16,28,16.4,0
147,"7",21,"Wednesday",1,0,346.366666666667,15.0594202898551,NA,6,16,23,20,1.5
147,"7",25,"Sunday",0,0,35.9833333333333,8.99583333333333,10.3975,1,3,4,22.8,13.9
147,"8",11,"Wednesday",0,0,48.8166666666667,9.76333333333333,13.5725,1,3,5,27,5
147,"8",15,"Sunday",1,0,413.466666666667,12.1607843137255,NA,11,16,34,18.2,0
147,"8",23,"Monday",1,0,412.45,13.3048387096774,NA,12,15,31,26.7,0
147,"9",18,"Saturday",0,0,211.416666666667,15.1011904761905,49.2125,2,8,14,18.7,0
147,"10",19,"Tuesday",0,0,39.4833333333333,9.87083333333333,10.9225,2,1,4,8.8,0
147,"10",20,"Wednesday",0,0,63.35,10.5583333333333,17.0025,2,3,6,11.8,0
147,"10",22,"Friday",0,0,146.7,14.67,34.505,6,3,10,8.7,13.8
147,"10",23,"Saturday",0,0,53.55,13.3875,13.0325,3,1,4,4.9,0
147,"10",25,"Monday",0,0,34.8166666666667,11.6055555555556,8.9725,3,0,3,6.5,0.5
147,"10",27,"Wednesday",1,0,316.683333333333,12.1801282051282,NA,8,14,26,9.6,0
147,"11",8,"Monday",0,0,87.1833333333333,12.4547619047619,21.8275,3,3,7,10.5,0.2
147,"11",11,"Thursday",1,0,144.433333333333,11.1102564102564,NA,10,3,13,3.9,0
148,"4",21,"Wednesday",1,0,94.8666666666667,9.48666666666667,NA,5,5,10,1.1,6.2
148,"4",27,"Tuesday",1,0,360.05,11.6145161290323,NA,13,18,31,8,0
148,"5",9,"Sunday",1,0,182.45,9.60263157894737,NA,4,12,19,11.4,0
148,"5",28,"Friday",1,0,441.466666666667,11.3196581196581,NA,11,19,39,7.8,0
148,"6",4,"Friday",1,0,460.216666666667,13.1490476190476,NA,7,22,35,22,0
148,"6",16,"Wednesday",0,0,115.8,14.475,27.37,2,4,8,15.2,0
148,"6",16,"Wednesday",1,0,438.383333333333,10.4376984126984,NA,11,25,42,15.2,0
148,"7",17,"Saturday",1,0,561.983333333333,14.4098290598291,NA,13,24,39,21.7,0
148,"7",18,"Sunday",1,0,146.766666666667,9.17291666666667,NA,3,7,16,21.8,0
148,"8",1,"Sunday",1,0,225.583333333333,9.02333333333333,NA,6,8,25,16.9,0
148,"8",6,"Friday",0,0,141.75,12.8863636363636,35.0125,3,3,11,25.1,0.2
148,"8",9,"Monday",1,0,373.416666666667,9.82675438596491,NA,13,16,38,25.2,0.2
148,"8",29,"Sunday",0,0,49.8833333333333,12.4708333333333,12.4825,1,3,4,19.3,6.5
148,"10",11,"Monday",1,1,318.15,12.2365384615385,NA,10,13,26,18.4,0
148,"10",15,"Friday",0,0,134.966666666667,13.4966666666667,32.745,5,3,10,18.4,0
148,"10",22,"Friday",1,0,362.716666666667,12.5074712643678,NA,12,10,29,8.7,13.8
148,"10",26,"Tuesday",1,0,301.066666666667,10.3816091954023,NA,14,12,29,9.6,6.4
148,"11",5,"Friday",0,0,103.383333333333,12.9229166666667,25.5075,2,3,8,3.5,0
149,"4",10,"Saturday",0,0,165.9,20.7375,34.885,1,3,8,16.4,0
149,"5",5,"Wednesday",0,0,13.2166666666667,13.2166666666667,3.2325,0,1,1,10.7,0.8
149,"5",5,"Wednesday",1,0,433.1,14.4366666666667,NA,4,22,30,10.7,0.8
149,"5",7,"Friday",1,0,716.116666666667,13.020303030303,NA,15,34,55,9.7,0
149,"5",9,"Sunday",1,0,743.383333333333,14.5761437908497,NA,13,32,51,11.4,0
149,"5",12,"Wednesday",0,0,47.1833333333333,23.5916666666667,9.5775,1,1,2,12,0
149,"5",28,"Friday",0,0,199.266666666667,13.2844444444444,48.64,3,8,15,7.8,0
149,"6",7,"Monday",1,0,758.95,13.3149122807018,NA,19,33,57,27.6,0
149,"6",29,"Tuesday",1,0,741.966666666667,13.2494047619048,NA,20,25,56,25.6,0
149,"7",5,"Monday",1,0,674.15,12.4842592592593,NA,15,20,54,20.2,0
149,"7",29,"Thursday",0,0,129.95,14.4388888888889,30.7425,3,5,9,17.7,0.7
149,"7",29,"Thursday",1,0,470.9,13.4542857142857,NA,13,15,35,17.7,0.7
149,"8",2,"Monday",0,0,35.5666666666667,7.11333333333333,11.585,1,3,5,18.8,0
